Key,"Spanish (Mexico), es_MX","English, en-US"
ListarCargasDepositos,Listar Cargas de Depósitos,List Deposit Loads
DetallesCargaDeposito,Detalles de Carga de Depósito,Deposit Load Details
CrearDeposito,Crear Depósito,Create Deposit
EditarDeposito,Editar Depósito,Edit Deposit
EliminarDeposito,Eliminar Depósito,Delete Deposit
ListarDepositos,Listar Depósitos,List Deposits
DetallesDeposito,Detalles de Depósito,Deposit Details
CrearEquipoAlmacenamiento,Crear Equipo de Almacenamiento,Create Storage Equipment
EditarEquipoAlmacenamiento,Editar Equipo de Almacenamiento,Edit Storage Equipment
EliminarEquipoAlmacenamiento,Eliminar Equipo de Almacenamiento,Delete Storage Equipment
ListarEquiposAlmacenamiento,Listar Equipos de Almacenamiento,List Storage Equipment
DetallesEquipoAlmacenamiento,Detalles de Equipo de Almacenamiento,Storage Equipment Details
CrearEstatusDeposito,Crear Estatus de Depósito,Create Deposit Status
EditarEstatusDeposito,Editar Estatus de Depósito,Edit Deposit Status
EliminarEstatusDeposito,Eliminar Estatus de Depósito,Delete Deposit Status
ListarEstatusDepositos,Listar Estatus de Depósitos,List Deposit Statuses
DetallesEstatusDeposito,Detalles de Estatus de Depósito,Deposit Status Details
CrearMovimientoSupersaco,Crear Movimiento de Supersaco,Create Supersack Movement
EditarMovimientoSupersaco,Editar Movimiento de Supersaco,Edit Supersack Movement
EliminarMovimientoSupersaco,Eliminar Movimiento de Supersaco,Delete Supersack Movement
ListarMovimientosSupersacos,Listar Movimientos de Supersacos,List Supersack Movements
DetallesMovimientoSupersaco,Detalles de Movimiento de Supersaco,Supersack Movement Details
VerTableroAlmacenamiento,Ver Tablero de Almacenamiento,View Storage Dashboard
VerMonitoreoAlmacenamiento,Ver Monitoreo de Almacenamiento,View Storage Monitoring
CrearDescargaPipa,Crear Descarga de Pipa,Create Tank Truck Unload
EditarDescargaPipa,Editar Descarga de Pipa,Edit Tank Truck Unload
EliminarDescargaPipa,Eliminar Descarga de Pipa,Delete Tank Truck Unload
ListarDescargasPipas,Listar Descargas de Pipas,List Tank Truck Unloads
DetallesDescargaPipa,Detalles de Descarga de Pipa,Tank Truck Unload Details
# Permisos Almacenamiento - Descripciones
DescCrearCargaDeposito,Permiso para crear cargas de depósitos,Permission to create deposit loads
DescEditarCargaDeposito,Permiso para editar cargas de depósitos,Permission to edit deposit loads
DescEliminarCargaDeposito,Permiso para eliminar cargas de depósitos,Permission to delete deposit loads
DescListarCargasDepositos,Permiso para listar cargas de depósitos,Permission to list deposit loads
DescDetallesCargaDeposito,Permiso para ver detalles de cargas de depósitos,Permission to view deposit load details
DescCrearDeposito,Permiso para crear depósitos,Permission to create deposits
DescEditarDeposito,Permiso para editar depósitos,Permission to edit deposits
DescEliminarDeposito,Permiso para eliminar depósitos,Permission to delete deposits
DescListarDepositos,Permiso para listar depósitos,Permission to list deposits
DescDetallesDeposito,Permiso para ver detalles de depósitos,Permission to view deposit details
DescCrearEquipoAlmacenamiento,Permiso para crear equipos de almacenamiento,Permission to create storage equipment
DescEditarEquipoAlmacenamiento,Permiso para editar equipos de almacenamiento,Permission to edit storage equipment
DescEliminarEquipoAlmacenamiento,Permiso para eliminar equipos de almacenamiento,Permission to delete storage equipment
DescListarEquiposAlmacenamiento,Permiso para listar equipos de almacenamiento,Permission to list storage equipment
DescDetallesEquipoAlmacenamiento,Permiso para ver detalles de equipos de almacenamiento,Permission to view storage equipment details
DescCrearEstatusDeposito,Permiso para crear estatus de depósitos,Permission to create deposit statuses
DescEditarEstatusDeposito,Permiso para editar estatus de depósitos,Permission to edit deposit statuses
DescEliminarEstatusDeposito,Permiso para eliminar estatus de depósitos,Permission to delete deposit statuses
DescListarEstatusDepositos,Permiso para listar estatus de depósitos,Permission to list deposit statuses
DescDetallesEstatusDeposito,Permiso para ver detalles de estatus de depósitos,Permission to view deposit status details
DescCrearMovimientoSupersaco,Permiso para crear movimientos de supersacos,Permission to create supersack movements
DescEditarMovimientoSupersaco,Permiso para editar movimientos de supersacos,Permission to edit supersack movements
DescEliminarMovimientoSupersaco,Permiso para eliminar movimientos de supersacos,Permission to delete supersack movements
DescListarMovimientosSupersacos,Permiso para listar movimientos de supersacos,Permission to list supersack movements
DescDetallesMovimientoSupersaco,Permiso para ver detalles de movimientos de supersacos,Permission to view supersack movement details
DescVerTableroAlmacenamiento,Permiso para ver el tablero de almacenamiento,Permission to view storage dashboard
DescVerMonitoreoAlmacenamiento,Permiso para ver el monitoreo de almacenamiento,Permission to view storage monitoring
DescCrearDescargaPipa,Permiso para crear descargas de pipas,Permission to create tank truck unloads
DescEditarDescargaPipa,Permiso para editar descargas de pipas,Permission to edit tank truck unloads
DescEliminarDescargaPipa,Permiso para eliminar descargas de pipas,Permission to delete tank truck unloads
DescListarDescargasPipas,Permiso para listar descargas de pipas,Permission to list tank truck unloads
DescDetallesDescargaPipa,Permiso para ver detalles de descargas de pipas,Permission to view tank truck unload details
# Secciones Almacenamiento
SeccionCargasDepositos,Cargas de Depósitos,Deposit Loads
SeccionDepositos,Depósitos,Deposits
SeccionEquipos,Equipos,Equipment
SeccionEstatusDepositos,Estatus de Depósitos,Deposit Statuses
SeccionMovimientosSupersacos,Movimientos de Supersacos,Supersack Movements
SeccionAnalisis,Análisis,Analysis
SeccionDescargasPipas,Descargas de Pipas,Tank Truck Unloads
# Permisos Administración - Identidad - Nombres
CrearRol,Crear Rol,Create Role
AsignarRol,Asignar Rol,Assign Role
RegistrarUsuario,Registrar Usuario,Register User
CambiarPassword,Cambiar Contraseña,Change Password
CambiarEmail,Cambiar Correo Electrónico,Change Email
CambiarNombre,Cambiar Nombre,Change Name
ListarUsuarios,Listar Usuarios,List Users
ListarPermisos,Listar Permisos,List Permissions
ListarRoles,Listar Roles,List Roles
EditarRol,Editar Rol,Edit Role
CambiarEstadoUsuario,Cambiar Estado de Usuario,Change User Status
CambiarEstadoRol,Cambiar Estado de Rol,Change Role Status
EditarUsuario,Editar Usuario,Edit User
BorrarRol,Borrar Rol,Delete Role
BorrarUsuario,Borrar Usuario,Delete User
# Permisos Administración - Identidad - Descripciones
DescCrearRol,Permiso para crear nuevos roles,Permission to create new roles
DescAsignarRol,Permiso para asignar roles,Permission to assign roles
DescRegistrarUsuario,Permiso para registrar nuevos usuarios,Permission to register new users
DescCambiarPassword,Permiso para cambiar contraseña (requiere contraseña actual),Permission to change password (requires current password)
DescCambiarEmail,Permiso para cambiar correo electrónico,Permission to change email
DescCambiarNombre,Permiso para cambiar nombre de usuario,Permission to change user name
DescListarUsuarios,Permiso para visualizar registros de usuarios,Permission to view user records
DescListarPermisos,Permiso para visualizar permisos de la aplicación,Permission to view application permissions
DescListarRoles,Permiso para visualizar roles,Permission to view roles
DescEditarRol,Permiso para editar y asignar roles,Permission to edit and assign roles
DescCambiarEstadoUsuario,Permiso para activar o desactivar usuarios,Permission to activate or deactivate users
DescCambiarEstadoRol,Permiso para activar o desactivar roles,Permission to activate or deactivate roles
DescEditarUsuario,Permiso para editar usuarios,Permission to edit users
DescBorrarRol,Permiso para eliminar roles adicionales,Permission to delete additional roles
DescBorrarUsuario,Permiso para eliminar usuarios,Permission to delete users
# Permisos Administración - Correos Automáticos - Nombres
ListarCorreosAutomaticosAD,Listar Correos Automáticos,List Automatic Emails
EditarCorreosAutomaticosAD,Editar Correos Automáticos,Edit Automatic Emails
CambiarEstadoCorreosAutomaticosAD,Cambiar Estado de Correos Automáticos,Change Automatic Email Status
# Permisos Administración - Correos Automáticos - Descripciones
DescListarCorreosAutomaticosAD,Permiso para visualizar correos automáticos,Permission to view automatic emails
DescEditarCorreosAutomaticosAD,Permiso para editar correos automáticos,Permission to edit automatic emails
DescCambiarEstadoCorreosAutomaticosAD,Permiso para cambiar estado de correos automáticos,Permission to change automatic email status
# Permisos Administración - Logs - Nombres
ListarLogs,Listar Logs,List Logs
# Permisos Administración - Logs - Descripciones
DescListarLogs,Permiso para visualizar los logs del sistema,Permission to view system logs
# Permisos Administración - Módulos - Nombres
ListarModulos,Listar Módulos,List Modules
CambiarEstadoModulos,Cambiar Estado de Módulos,Change Module Status
# Permisos Administración - Módulos - Descripciones
DescListarModulos,Permiso para visualizar módulos,Permission to view modules
DescCambiarEstadoModulos,Permiso para cambiar estado de módulos,Permission to change module status
# Secciones Administración
SeccionRoles,Roles,Roles
SeccionPermisos,Permisos,Permissions
SeccionUsuarios,Usuarios,Users
SeccionCorreosAutomaticos,Correos Automáticos,Automatic Emails
SeccionLogs,Logs,Logs
SeccionModulos,Módulos,Modules
# Módulos - Nombres
ModuloAdministracion,Administración,Administration
ModuloAlmacenamiento,Almacenamiento,Storage
ModuloRecepcion,Recepción,Reception
ModuloAccesorios,Accesorios,Accessories
ModuloGerencia,Gerencia,Management
# Módulos - Descripciones
DescModuloAdministracion,Control monitoreo y administración general de la plataforma,General platform control monitoring and administration
DescModuloAlmacenamiento,Control monitoreo y administración del módulo de almacenamiento,Storage module control monitoring and administration
DescModuloRecepcion,Control monitoreo y administración del módulo de recepción,Reception module control monitoring and administration
DescModuloAccesorios,Control monitoreo y administración del módulo de accesorios,Accessories module control monitoring and administration
DescModuloGerencia,Control monitoreo y administración del módulo de gerencia,Management module control monitoring and administration
# Grupos de Permisos - Administración
GrupoIdentidad,Identidad,Identity
GrupoIdentidadNorm,Roles Usuarios y Permisos,Roles Users and Permissions
GrupoLogsAdmin,Logs Admin,Logs Admin
GrupoLogsAdminNorm,Logs,Logs
GrupoCorreosAutomaticosAdmin,Correos Automáticos Admin,Automatic Emails Admin
GrupoCorreosAutomaticosAdminNorm,Correos Automáticos Admin,Automatic Emails Admin
GrupoModulosAdmin,Módulos Admin,Modules Admin
GrupoModulosAdminNorm,Módulos Admin,Modules Admin
# Grupos de Permisos - Almacenamiento
GrupoCargasAlmacenamiento,Cargas Almacenamiento,Storage Loads
GrupoCargasAlmacenamientoNorm,Cargas Almacenamiento,Storage Loads
GrupoTanquesAlmacenamiento,Depósitos Almacenamiento,Storage Deposits
GrupoTanquesAlmacenamientoNorm,Depósitos Almacenamiento,Storage Deposits
GrupoEquiposAlmacenamiento,Equipos Almacenamiento,Storage Equipment
GrupoEquiposAlmacenamientoNorm,Equipos Almacenamiento,Storage Equipment
GrupoEstatusAlmacenamiento,Estatus Almacenamiento,Storage Status
GrupoEstatusAlmacenamientoNorm,Estatus Almacenamiento,Storage Status
GrupoMovimientosAlmacenamiento,Movimientos Almacenamiento,Storage Movements
GrupoMovimientosAlmacenamientoNorm,Movimientos Almacenamiento,Storage Movements
GrupoAnalisisAlmacenamiento,Análisis Almacenamiento,Storage Analysis
GrupoAnalisisAlmacenamientoNorm,Análisis Almacenamiento,Storage Analysis
GrupoDescargasAlmacenamiento,Descargas Almacenamiento,Storage Unloads
GrupoDescargasAlmacenamientoNorm,Descargas Almacenamiento,Storage Unloads
# Ayudas de UX - Formulario de Roles
SeleccioneModulosParaMostrarPermisos,Seleccione los módulos de arriba para ver sus permisos,Select modules above to view their permissions
ClickParaDesplegarPermisos,Clic para desplegar/contraer permisos del grupo,Click to expand/collapse group permissions
MarqueParaHabilitar,Marque para habilitar el módulo,Check to enable module
TotalPermisosSeleccionados,Total de permisos seleccionados,Total permissions selected
SeleccionarTodosModuloTooltip,Seleccionar o deseleccionar todos los permisos de este módulo,Select or deselect all permissions in this module
SeleccionarTodosGrupoTooltip,Seleccionar o deseleccionar todos los permisos del grupo,Select or deselect all permissions in this group
ModuloOperativo,Muestra o oculta todos los permisos del módulo,Show or hide all permissions in the module
Mensaje404,Página no encontrada,Page not found
Descripcion404,La página que buscas no existe o ha sido movida,The page you are looking for does not exist or has been moved
TableroAlmacenamiento,Tablero,Dashboard
MonitoreoAlmacenamiento,Monitoreo,Monitoring
CargasAlmacenamiento,Cargas,Loads
DescargasAlmacenamiento,Descargas,Unloads
SuperSacosAlmacenamiento,Supersacos,Supersacks
TanquesAlmacenamiento,Tanques,Tanks
EquiposAlmacenamiento,Equipos,Equipment
AlmacenamientoGerencia,Almacenamiento,Storage
RecepcionGerencia,Recepción,Reception
TableroAccesorios,Tablero,Dashboard
MonitoreoAccesorios,Monitoreo,Monitoring
InventarioAccesorios,Inventario,Inventory
MovimientosAccesorios,Movimientos,Movements
CategoriasAccesorios,Categorías,Categories
AltasAccesorios,Accesorios,Accessories
ProveedoresAccesorios,Proveedores,Providers
LimitesSedenaAccesorios,Límites SEDENA,SEDENA Limits
EquipmentAlmacenamientoGerencia,Equipos,Equipment
AccesoriosGerencia,Accesorios,Accessories
AnalisisAlmacenamiento,Análisis,Analysis
HistorialesAlmacenamiento,Historiales,History
AltasAlmacenamiento,Altas,Setup
AnalisisAccesorios,Análisis,Analysis
AlmacenAccesorios,Almacén,Storage
AltasAccesoriosGrupo,Altas,Setup
ConfiguracionesAccesorios,Configuraciones,Settings
AnalisisGerencia,Análisis,Analysis
GestionAltasGerencia,Gestión,Setup
AnalisisRecepcion,Análisis,Analysis
TableroRecepcion,Tablero,Dashboard
MonitoreoRecepcion,Monitoreo,Monitoring
HistorialesRecepciones,Historiales,History
HistorialesRecepcion,Recepciones,Receptions
AltasRecepcion,Gestión,Setup
ProveedoresRecepcion,Proveedores,Providers
ConductoresRecepcion,Conductores,Drivers
TransportistaRecepcion,Transportista,Transporter
OrigenesRecepcion,Origenes,Origins
EquiposRecepcion,Equipos,Equipment
UsuarioRegistrado,Usuario Registrado,Registered User
HistorialDeRecepciones,Historial de Recepciones,Reception History
MostrarPWD,Mostrar Contraseña,Show Password
OcultarPWD,Ocultar Contraseña,Hide Password
SinInternetTitulo,Sin Conexión,No Connection
SinInternetDescripcion,Necesita una conexión a internet para utilizar la aplicación.,You need an internet connection to use the application.
NuevaVersionDisponible,Nueva versión disponible,New version available
ActualizarAhora,Actualizar ahora,Update now
InstalarAplicacion,Instalar Aplicación,Install Application
ConfirmarBorrado,Si Quiero borrarlo,Yes I want to delete it
